CustomerID,Gender,Age,Income,Score,Gender_Encoded,KMeans_Cluster,Segment,DBSCAN_Cluster
30,Female,37,33,31,1,2,Low Income - Low Spending (Sensible),0
31,Male,47,15,15,0,2,Low Income - Low Spending (Sensible),0
32,Male,28,17,22,0,2,Low Income - Low Spending (Sensible),0
33,Female,45,29,21,1,2,Low Income - Low Spending (Sensible),0
34,Female,42,29,19,1,2,Low Income - Low Spending (Sensible),0
35,Female,56,29,39,1,2,Low Income - Low Spending (Sensible),0
36,Male,50,55,28,0,1,Middle Income - Moderate Spending (Standard),0
37,Female,18,29,14,1,2,Low Income - Low Spending (Sensible),0
38,Male,44,34,32,0,2,Low Income - Low Spending (Sensible),0
39,Male,69,32,41,0,2,Low Income - Low Spending (Sensible),0
40,Male,30,30,33,0,2,Low Income - Low Spending (Sensible),0
41,Male,58,15,82,0,0,Low Income - High Spending (Careless),0
42,Male,20,21,74,0,0,Low Income - High Spending (Careless),0
43,Female,56,35,87,1,0,Low Income - High Spending (Careless),0
44,Female,23,19,82,1,0,Low Income - High Spending (Careless),0
45,Female,25,28,86,1,0,Low Income - High Spending (Careless),0
46,Female,44,31,85,1,0,Low Income - High Spending (Careless),0
47,Female,26,17,73,1,0,Low Income - High Spending (Careless),0
48,Male,54,24,75,0,0,Low Income - High Spending (Careless),0
49,Female,50,15,85,1,0,Low Income - High Spending (Careless),0
50,Female,68,16,84,1,0,Low Income - High Spending (Careless),0
51,Male,59,22,79,0,0,Low Income - High Spending (Careless),0
52,Female,61,15,80,1,0,Low Income - High Spending (Careless),0
53,Male,41,38,90,0,0,Low Income - High Spending (Careless),0
54,Female,32,15,75,1,0,Low Income - High Spending (Careless),0
55,Male,49,21,84,0,0,Low Income - High Spending (Careless),0
56,Female,49,26,78,1,0,Low Income - High Spending (Careless),0
57,Female,41,36,78,1,0,Low Income - High Spending (Careless),0
58,Male,58,15,88,0,0,Low Income - High Spending (Careless),0
59,Male,69,34,86,0,0,Low Income - High Spending (Careless),0
60,Male,66,25,86,0,0,Low Income - High Spending (Careless),0
61,Male,66,17,90,0,0,Low Income - High Spending (Careless),0
62,Male,69,28,80,0,0,Low Income - High Spending (Careless),0
63,Male,29,26,85,0,0,Low Income - High Spending (Careless),0
64,Male,56,20,77,0,0,Low Income - High Spending (Careless),0
65,Male,19,25,82,0,0,Low Income - High Spending (Careless),0
66,Female,20,21,78,1,0,Low Income - High Spending (Careless),0
67,Female,66,25,80,1,0,Low Income - High Spending (Careless),0
68,Male,54,30,84,0,0,Low Income - High Spending (Careless),0
69,Female,66,37,73,1,0,Low Income - High Spending (Careless),0
70,Female,34,15,96,1,0,Low Income - High Spending (Careless),0
71,Female,66,42,71,1,0,Low Income - High Spending (Careless),0
72,Female,19,15,70,1,0,Low Income - High Spending (Careless),0
73,Male,19,23,89,0,0,Low Income - High Spending (Careless),0
74,Female,45,29,86,1,0,Low Income - High Spending (Careless),0
75,Male,40,27,84,0,0,Low Income - High Spending (Careless),0
76,Female,54,20,85,1,0,Low Income - High Spending (Careless),0
77,Female,49,23,79,1,0,Low Income - High Spending (Careless),0
78,Female,50,21,72,1,0,Low Income - High Spending (Careless),0
79,Male,18,20,80,0,0,Low Income - High Spending (Careless),0
80,Female,36,31,74,1,0,Low Income - High Spending (Careless),0
81,Male,19,62,67,0,1,Middle Income - Moderate Spending (Standard),0
82,Female,61,53,43,1,1,Middle Income - Moderate Spending (Standard),0
83,Male,43,48,56,0,1,Middle Income - Moderate Spending (Standard),0
84,Female,49,52,51,1,1,Middle Income - Moderate Spending (Standard),0
85,Male,23,58,67,0,1,Middle Income - Moderate Spending (Standard),0
86,Male,49,50,43,0,1,Middle Income - Moderate Spending (Standard),0
87,Female,21,48,43,1,1,Middle Income - Moderate Spending (Standard),0
88,Male,28,56,45,0,1,Middle Income - Moderate Spending (Standard),0
89,Female,34,56,33,1,1,Middle Income - Moderate Spending (Standard),0
90,Female,55,50,45,1,1,Middle Income - Moderate Spending (Standard),0
91,Female,41,51,43,1,1,Middle Income - Moderate Spending (Standard),0
92,Female,22,56,51,1,1,Middle Income - Moderate Spending (Standard),0
93,Female,69,43,52,1,1,Middle Income - Moderate Spending (Standard),0
94,Female,51,43,65,1,1,Middle Income - Moderate Spending (Standard),0
95,Female,23,49,57,1,1,Middle Income - Moderate Spending (Standard),0
96,Female,39,53,45,1,1,Middle Income - Moderate Spending (Standard),0
97,Female,28,57,42,1,1,Middle Income - Moderate Spending (Standard),0
98,Female,65,66,53,1,1,Middle Income - Moderate Spending (Standard),0
99,Female,33,61,39,1,1,Middle Income - Moderate Spending (Standard),0
100,Male,50,53,64,0,1,Middle Income - Moderate Spending (Standard),0
101,Male,26,54,59,0,1,Middle Income - Moderate Spending (Standard),0
102,Female,23,46,46,1,1,Middle Income - Moderate Spending (Standard),0
103,Female,33,54,36,1,1,Middle Income - Moderate Spending (Standard),0
104,Female,46,52,60,1,1,Middle Income - Moderate Spending (Standard),0
105,Female,20,57,49,1,1,Middle Income - Moderate Spending (Standard),0
106,Female,37,48,59,1,1,Middle Income - Moderate Spending (Standard),0
107,Female,53,59,37,1,1,Middle Income - Moderate Spending (Standard),0
108,Female,36,67,45,1,1,Middle Income - Moderate Spending (Standard),0
109,Female,43,54,50,1,1,Middle Income - Moderate Spending (Standard),0
110,Male,20,58,50,0,1,Middle Income - Moderate Spending (Standard),0
111,Female,36,60,46,1,1,Middle Income - Moderate Spending (Standard),0
112,Male,37,51,54,0,1,Middle Income - Moderate Spending (Standard),0
113,Female,49,56,41,1,1,Middle Income - Moderate Spending (Standard),0
114,Female,24,55,48,1,1,Middle Income - Moderate Spending (Standard),0
115,Male,69,55,50,0,1,Middle Income - Moderate Spending (Standard),0
116,Female,58,48,54,1,1,Middle Income - Moderate Spending (Standard),0
117,Male,50,55,55,0,1,Middle Income - Moderate Spending (Standard),0
118,Female,57,58,41,1,1,Middle Income - Moderate Spending (Standard),0
119,Female,56,66,37,1,1,Middle Income - Moderate Spending (Standard),0
120,Male,35,62,60,0,1,Middle Income - Moderate Spending (Standard),0
121,Female,57,87,15,1,4,High Income - Low Spending (Careful),1
122,Male,18,79,13,0,4,High Income - Low Spending (Careful),1
123,Female,28,97,19,1,4,High Income - Low Spending (Careful),1
124,Male,45,85,11,0,4,High Income - Low Spending (Careful),1
125,Male,42,94,15,0,4,High Income - Low Spending (Careful),1
126,Female,67,85,10,1,4,High Income - Low Spending (Careful),1
127,Female,40,101,35,1,4,High Income - Low Spending (Careful),1
128,Male,48,99,20,0,4,High Income - Low Spending (Careful),1
129,Female,47,83,14,1,4,High Income - Low Spending (Careful),1
130,Female,59,92,21,1,4,High Income - Low Spending (Careful),1
131,Female,52,90,19,1,4,High Income - Low Spending (Careful),1
132,Male,24,95,18,0,4,High Income - Low Spending (Careful),1
133,Male,33,77,24,0,4,High Income - Low Spending (Careful),1
134,Male,43,90,26,0,4,High Income - Low Spending (Careful),1
135,Male,65,93,15,0,4,High Income - Low Spending (Careful),1
136,Male,69,70,15,0,4,High Income - Low Spending (Careful),1
137,Male,66,75,17,0,4,High Income - Low Spending (Careful),1
138,Male,19,68,1,0,4,High Income - Low Spending (Careful),1
139,Male,18,82,7,0,4,High Income - Low Spending (Careful),1
140,Male,65,90,30,0,4,High Income - Low Spending (Careful),1
141,Female,29,97,33,1,4,High Income - Low Spending (Careful),1
142,Male,22,85,18,0,4,High Income - Low Spending (Careful),1
143,Female,54,98,24,1,4,High Income - Low Spending (Careful),1
144,Female,49,73,22,1,4,High Income - Low Spending (Careful),1
145,Female,26,71,44,1,1,Middle Income - Moderate Spending (Standard),0
146,Male,58,84,28,0,4,High Income - Low Spending (Careful),1
147,Male,52,88,18,0,4,High Income - Low Spending (Careful),1
148,Male,36,84,12,0,4,High Income - Low Spending (Careful),1
149,Male,65,68,7,0,4,High Income - Low Spending (Careful),1
150,Female,33,84,21,1,4,High Income - Low Spending (Careful),1
151,Male,20,74,13,0,4,High Income - Low Spending (Careful),1
152,Male,37,90,8,0,4,High Income - Low Spending (Careful),1
153,Male,41,87,14,0,4,High Income - Low Spending (Careful),1
154,Male,50,77,11,0,4,High Income - Low Spending (Careful),1
155,Male,41,80,33,0,4,High Income - Low Spending (Careful),1
156,Female,69,76,27,1,4,High Income - Low Spending (Careful),1
157,Male,28,84,19,0,4,High Income - Low Spending (Careful),1
158,Female,66,92,31,1,4,High Income - Low Spending (Careful),1
159,Male,25,77,20,0,4,High Income - Low Spending (Careful),1
160,Female,53,89,13,1,4,High Income - Low Spending (Careful),1
161,Male,55,97,74,0,3,High Income - High Spending (Target),0
162,Male,57,89,80,0,3,High Income - High Spending (Target),0
163,Female,37,76,73,1,3,High Income - High Spending (Target),0
164,Female,52,83,76,1,3,High Income - High Spending (Target),0
165,Female,65,77,88,1,3,High Income - High Spending (Target),0
166,Male,42,73,75,0,3,High Income - High Spending (Target),0
167,Female,52,92,86,1,3,High Income - High Spending (Target),0
168,Male,42,100,70,0,3,High Income - High Spending (Target),0
169,Male,46,73,84,0,3,High Income - High Spending (Target),0
170,Female,35,89,91,1,3,High Income - High Spending (Target),0
171,Female,63,79,60,1,3,High Income - High Spending (Target),0
172,Male,35,81,73,0,3,High Income - High Spending (Target),0
173,Male,19,80,84,0,3,High Income - High Spending (Target),0
174,Female,52,78,78,1,3,High Income - High Spending (Target),0
175,Female,33,85,82,1,3,High Income - High Spending (Target),0
176,Female,58,78,75,1,3,High Income - High Spending (Target),0
177,Male,53,87,80,0,3,High Income - High Spending (Target),0
178,Male,50,84,78,0,3,High Income - High Spending (Target),0
179,Male,21,83,89,0,3,High Income - High Spending (Target),0
180,Male,50,77,82,0,3,High Income - High Spending (Target),0
181,Male,31,80,82,0,3,High Income - High Spending (Target),0
182,Male,38,91,76,0,3,High Income - High Spending (Target),0
183,Female,65,89,76,1,3,High Income - High Spending (Target),0
184,Male,37,77,76,0,3,High Income - High Spending (Target),0
185,Male,25,85,83,0,3,High Income - High Spending (Target),0
186,Male,24,91,76,0,3,High Income - High Spending (Target),0
187,Female,20,71,82,1,3,High Income - High Spending (Target),0
188,Male,34,89,96,0,3,High Income - High Spending (Target),0
189,Male,50,79,86,0,3,High Income - High Spending (Target),0
190,Female,65,89,77,1,3,High Income - High Spending (Target),0
191,Male,29,78,89,0,3,High Income - High Spending (Target),0
192,Male,68,70,76,0,3,High Income - High Spending (Target),0
193,Male,39,71,63,0,3,High Income - High Spending (Target),0
194,Male,39,85,71,0,3,High Income - High Spending (Target),0
195,Male,63,87,65,0,3,High Income - High Spending (Target),0
196,Female,47,77,77,1,3,High Income - High Spending (Target),0
197,Female,55,90,80,1,3,High Income - High Spending (Target),0
198,Female,55,71,93,1,3,High Income - High Spending (Target),0
199,Male,62,84,82,0,3,High Income - High Spending (Target),0
200,Male,68,75,78,0,3,High Income - High Spending (Target),0
